epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8082,1.47905,3.67953,1.83236,0.56914,0.27449,0.2972,0.14541,1.75746,2.58782,2.34172,0.0033287,0.0033287,0.0033287
2,85.5838,1.49964,2.94666,1.8142,0.40767,0.45539,0.40196,0.20115,1.70976,2.2653,2.23445,0.00661806,0.00661806,0.00661806
3,123.48,1.55291,2.81004,1.85627,0.34852,0.31562,0.25841,0.10363,1.99484,2.74861,2.65901,0.00986343,0.00986343,0.00986343
4,163.4,1.58742,2.67548,1.88366,0.37681,0.34244,0.33389,0.14563,1.95984,2.5693,2.56355,0.009802,0.009802,0.009802
5,207.992,1.57931,2.51121,1.86729,0.66377,0.39943,0.43141,0.21481,1.84018,2.1536,2.35486,0.009736,0.009736,0.009736
6,247.311,1.54806,2.34501,1.83405,0.52113,0.47723,0.48203,0.2495,1.7688,1.9601,2.26666,0.00967,0.00967,0.00967
7,284.423,1.52026,2.23211,1.80483,0.6136,0.50486,0.53362,0.27623,1.76544,1.83688,2.28079,0.009604,0.009604,0.009604
8,325.323,1.49366,2.14103,1.78281,0.57553,0.55122,0.55832,0.30864,1.68019,1.79446,2.17099,0.009538,0.009538,0.009538
9,363.903,1.48693,2.06172,1.76588,0.60817,0.50118,0.53023,0.26174,1.81898,1.89138,2.33629,0.009472,0.009472,0.009472
10,401.627,1.47256,1.988,1.76019,0.6391,0.53122,0.57029,0.30828,1.71362,1.73761,2.18378,0.009406,0.009406,0.009406
11,439.519,1.46106,1.95423,1.74467,0.67337,0.57283,0.61502,0.33648,1.66694,1.58978,2.13154,0.00934,0.00934,0.00934
12,476.81,1.44657,1.9021,1.73471,0.66146,0.58026,0.61224,0.33409,1.64537,1.58863,2.12583,0.009274,0.009274,0.009274
13,514.682,1.4329,1.85944,1.72703,0.70214,0.5935,0.63741,0.36095,1.63299,1.51642,2.11132,0.009208,0.009208,0.009208
14,552.25,1.4203,1.80607,1.71326,0.7141,0.57469,0.6293,0.35139,1.61399,1.54246,2.0814,0.009142,0.009142,0.009142
15,589.627,1.42164,1.78206,1.71178,0.72542,0.61583,0.65773,0.36747,1.62505,1.46065,2.10166,0.009076,0.009076,0.009076
16,627.336,1.40481,1.75231,1.70082,0.75962,0.61951,0.66933,0.37997,1.58379,1.43859,2.06719,0.00901,0.00901,0.00901
17,664.003,1.4047,1.74259,1.70517,0.74506,0.59737,0.65414,0.36374,1.62459,1.50943,2.08991,0.008944,0.008944,0.008944
18,701.174,1.38806,1.68894,1.68489,0.73384,0.61643,0.67098,0.38722,1.58474,1.40505,2.04817,0.008878,0.008878,0.008878
19,742.313,1.3844,1.65844,1.68376,0.72948,0.63075,0.66892,0.37751,1.58158,1.40719,2.06285,0.008812,0.008812,0.008812
20,786.14,1.37599,1.64655,1.67261,0.7589,0.62491,0.67672,0.39096,1.57443,1.4614,2.02882,0.008746,0.008746,0.008746
21,830.204,1.36872,1.61267,1.66944,0.74481,0.64277,0.69162,0.3965,1.57325,1.32858,2.04311,0.00868,0.00868,0.00868
22,874.522,1.37465,1.59454,1.67098,0.76953,0.66879,0.70662,0.4024,1.57628,1.27461,2.03937,0.008614,0.008614,0.008614
23,912.325,1.35375,1.58191,1.662,0.74958,0.65619,0.71155,0.41271,1.55441,1.28525,2.01204,0.008548,0.008548,0.008548
24,957.607,1.35331,1.55986,1.66263,0.7753,0.65591,0.71102,0.41104,1.56729,1.27751,2.03149,0.008482,0.008482,0.008482
25,1002.35,1.35666,1.56014,1.66086,0.7624,0.64847,0.70126,0.40838,1.56657,1.33648,2.0293,0.008416,0.008416,0.008416
26,1047.27,1.34821,1.52405,1.65078,0.74839,0.68572,0.71671,0.42059,1.52982,1.23961,1.99123,0.00835,0.00835,0.00835
27,1092.28,1.33794,1.51338,1.64513,0.7866,0.67993,0.73274,0.42165,1.54792,1.21212,2.00558,0.008284,0.008284,0.008284
28,1137.05,1.33847,1.49667,1.64325,0.80927,0.66655,0.72877,0.42604,1.54369,1.19925,2.00571,0.008218,0.008218,0.008218
29,1182.27,1.33138,1.46882,1.63094,0.77417,0.68682,0.74089,0.4316,1.53489,1.19109,1.99481,0.008152,0.008152,0.008152
30,1227.01,1.32973,1.47397,1.63493,0.79782,0.67001,0.73675,0.42853,1.5252,1.18691,1.99001,0.008086,0.008086,0.008086
31,1271.85,1.32065,1.44638,1.62761,0.79784,0.68099,0.73622,0.43536,1.52502,1.20439,1.99219,0.00802,0.00802,0.00802
32,1316.63,1.31568,1.42482,1.62114,0.80095,0.68066,0.74104,0.43275,1.52558,1.18018,1.98711,0.007954,0.007954,0.007954
33,1360.99,1.30123,1.41715,1.61694,0.81691,0.68137,0.74673,0.43453,1.52178,1.15531,1.98381,0.007888,0.007888,0.007888
34,1405.19,1.31288,1.41242,1.61645,0.792,0.70482,0.74692,0.43477,1.53536,1.14085,1.98806,0.007822,0.007822,0.007822
35,1449.72,1.30541,1.38826,1.60723,0.81064,0.68383,0.74722,0.43846,1.53789,1.1338,2.0019,0.007756,0.007756,0.007756
36,1489.89,1.29943,1.37575,1.60545,0.79592,0.70619,0.75587,0.43861,1.52793,1.12602,1.98845,0.00769,0.00769,0.00769
37,1526.93,1.29137,1.36321,1.60604,0.78804,0.71111,0.75093,0.43753,1.52322,1.14055,1.97971,0.007624,0.007624,0.007624
38,1563.6,1.28928,1.37429,1.60066,0.81206,0.70246,0.74659,0.43874,1.50937,1.13496,1.96701,0.007558,0.007558,0.007558
39,1600.12,1.2821,1.34818,1.59564,0.79725,0.70754,0.7571,0.44545,1.51676,1.12078,1.97589,0.007492,0.007492,0.007492
40,1642.72,1.28765,1.34358,1.59589,0.81904,0.70766,0.7632,0.44647,1.51619,1.09475,1.97911,0.007426,0.007426,0.007426
41,1680.5,1.27719,1.32889,1.59209,0.82623,0.68303,0.74926,0.44776,1.52378,1.10308,1.98413,0.00736,0.00736,0.00736
42,1717.62,1.28454,1.3255,1.59429,0.80207,0.71199,0.75557,0.4463,1.51624,1.10248,1.97535,0.007294,0.007294,0.007294
43,1754.44,1.2686,1.29427,1.57955,0.81683,0.68968,0.7493,0.44313,1.52858,1.11507,1.98049,0.007228,0.007228,0.007228
44,1797.09,1.26364,1.29202,1.57699,0.81682,0.69971,0.75886,0.45027,1.52389,1.09967,1.9822,0.007162,0.007162,0.007162
45,1840.55,1.26024,1.29669,1.57781,0.84102,0.69733,0.76507,0.4491,1.5196,1.06265,1.97927,0.007096,0.007096,0.007096
46,1884,1.26144,1.26993,1.57382,0.82979,0.70464,0.7573,0.45071,1.51727,1.07549,1.97691,0.00703,0.00703,0.00703
47,1927.95,1.24812,1.24886,1.56328,0.84785,0.70013,0.77107,0.45353,1.50787,1.0657,1.97193,0.006964,0.006964,0.006964
48,1971.55,1.25742,1.26793,1.56605,0.8133,0.72205,0.76205,0.44996,1.51966,1.06698,1.97451,0.006898,0.006898,0.006898
49,2014.84,1.24684,1.2582,1.56434,0.83134,0.7241,0.77465,0.4588,1.51091,1.05931,1.97082,0.006832,0.006832,0.006832
50,2058.06,1.24691,1.24936,1.56144,0.8639,0.70291,0.77257,0.46373,1.50577,1.04791,1.96088,0.006766,0.006766,0.006766
51,2097.45,1.2389,1.23284,1.55612,0.84173,0.71325,0.7734,0.4628,1.49632,1.04864,1.95795,0.0067,0.0067,0.0067
